name,sharpe_full,dd_full,cagr_full,sharpe_eval,dd_eval,cagr_eval,turnover_yr,avg_abs_pos,params
h1-DISCRETE-lf-e0.25-x-0.25-costx2,0.785,-10.0,6.5,0.851,-10.0,7.5,1.7,0.42,{}
S7-max-hl126-buf0.1,0.848,-20.3,15.2,0.894,-20.3,17.3,12.2,0.88,"{""vol_hl"": 126, ""buf"": 0.1}"
S7-max-hl126-buf0.2,0.828,-21.2,14.6,0.878,-21.2,16.7,8.4,0.88,"{""vol_hl"": 126, ""buf"": 0.2}"
S7-max-hl216-buf0.1,0.813,-19.6,14.6,0.853,-19.6,16.5,11.3,0.87,"{""vol_hl"": 216, ""buf"": 0.1}"
S7-max-hl216-buf0.2,0.798,-19.9,14.0,0.841,-19.9,15.9,7.6,0.87,"{""vol_hl"": 216, ""buf"": 0.2}"
S7-max-hl378-buf0.1,0.794,-21.0,14.3,0.831,-21.0,16.1,10.6,0.87,"{""vol_hl"": 378, ""buf"": 0.1}"
S7-max-hl378-buf0.2,0.787,-21.0,13.8,0.827,-21.0,15.7,7.1,0.87,"{""vol_hl"": 378, ""buf"": 0.2}"
S7-max-dualvol-buf0.0,0.853,-18.9,14.5,0.895,-18.9,16.4,25.1,0.84,"{""vol"": ""max(42,252)""}"
S7-max-dualvol-buf0.2,0.822,-18.8,13.3,0.861,-18.8,14.9,8.0,0.82,"{""vol"": ""max(42,252)""}"
S7-bkof-d1gate-buf0.2,0.789,-19.9,10.5,0.934,-19.9,13.5,12.3,0.52,{}
S7-blend-leaders-buf0.1,0.938,-17.5,14.9,0.999,-17.5,17.3,15.5,0.75,{}
S7-blend-leaders-buf0.2,0.929,-18.0,14.7,0.989,-18.0,17.0,11.4,0.76,{}
S7-max-conc1.5-buf0.2,0.957,-16.8,13.9,0.991,-16.8,15.7,9.8,0.71,{}
CHAMP-base,0.933,-18.9,12.3,1.017,-18.9,14.4,22.1,0.55,{}
CHAMP-costx2,0.911,-19.1,12.0,0.994,-19.1,14.1,22.1,0.55,"{""spread_mult"": 2}"
CHAMP-costx3,0.889,-19.2,11.7,0.971,-19.2,13.8,22.1,0.55,"{""spread_mult"": 3}"
CHAMP-delay2,0.958,-18.3,12.7,1.037,-18.3,14.9,22.1,0.55,"{""delay"": 2}"
CHAMP-delay3,0.938,-19.1,12.5,1.019,-19.1,14.6,22.1,0.55,"{""delay"": 3}"
CHAMP-tv15,0.935,-27.1,18.5,1.019,-27.1,21.9,33.1,0.83,"{""target_vol"": 0.15}"
CHAMP-buf0.25,0.927,-19.2,12.3,1.003,-19.2,14.4,30.4,0.54,"{""buffer_frac"": 0.25}"
CHAMP-hl42,0.912,-18.5,11.8,0.997,-18.5,14.0,13.6,0.55,"{""vol_hl"": 42}"
S8-blend-buf0.1,0.938,-17.5,14.9,0.999,-17.5,17.3,15.5,0.75,"{""buf"": 0.1}"
S8-blend-buf0.2,0.929,-18.0,14.7,0.989,-18.0,17.0,11.4,0.76,"{""buf"": 0.2}"
S8-conc1.5-buf0.1,0.952,-15.5,14.0,0.987,-15.5,15.9,15.2,0.71,"{""buf"": 0.1}"
S8-conc1.5-buf0.2,0.957,-16.8,13.9,0.991,-16.8,15.7,9.8,0.71,"{""buf"": 0.2}"
S8-blend-conc1.5-buf0.1,0.976,-16.9,15.4,1.041,-16.9,18.0,17.5,0.71,"{""buf"": 0.1}"
S8-blend-conc1.5-buf0.2,0.966,-17.2,15.1,1.027,-17.2,17.6,13.5,0.72,"{""buf"": 0.2}"
S8-conc1.25-buf0.1,0.95,-15.5,13.6,0.986,-15.5,15.4,13.3,0.7,"{""buf"": 0.1}"
S8-conc1.25-buf0.2,0.954,-16.6,13.5,0.99,-16.6,15.3,8.4,0.71,"{""buf"": 0.2}"
S8-conc2.0-buf0.1,0.952,-16.6,14.7,0.989,-16.6,16.7,18.2,0.71,"{""buf"": 0.1}"
S8-conc2.0-buf0.2,0.946,-17.5,14.4,0.982,-17.5,16.3,12.2,0.72,"{""buf"": 0.2}"
S8-blend-buf0.1,0.938,-17.5,14.9,0.999,-17.5,17.3,15.5,0.75,"{""buf"": 0.1}"
S8-blend-buf0.2,0.929,-18.0,14.7,0.989,-18.0,17.0,11.4,0.76,"{""buf"": 0.2}"
S8-conc1.5-buf0.1,0.952,-15.5,14.0,0.987,-15.5,15.9,15.2,0.71,"{""buf"": 0.1}"
S8-conc1.5-buf0.2,0.957,-16.8,13.9,0.991,-16.8,15.7,9.8,0.71,"{""buf"": 0.2}"
S8-blend-conc1.5-buf0.1,0.976,-16.9,15.4,1.041,-16.9,18.0,17.5,0.71,"{""buf"": 0.1}"
S8-blend-conc1.5-buf0.2,0.966,-17.2,15.1,1.027,-17.2,17.6,13.5,0.72,"{""buf"": 0.2}"
S8-conc1.25-buf0.1,0.95,-15.5,13.6,0.986,-15.5,15.4,13.3,0.7,"{""buf"": 0.1}"
S8-conc1.25-buf0.2,0.954,-16.6,13.5,0.99,-16.6,15.3,8.4,0.71,"{""buf"": 0.2}"
S8-conc2.0-buf0.1,0.952,-16.6,14.7,0.989,-16.6,16.7,18.2,0.71,"{""buf"": 0.1}"
S8-conc2.0-buf0.2,0.946,-17.5,14.4,0.982,-17.5,16.3,12.2,0.72,"{""buf"": 0.2}"
