time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1987-02-16,,,,,,0.0,0.0,,,,,,,
1987-02-17,,,,,,0.0216327887880625,0.017399132724901817,,,,,0.004075597736851705,0.0,0.0
1987-02-18,,,,,,-0.00032797128043715373,-0.00026878480573666656,,,,,-4.832800423827305e-05,0.0,0.0
1987-02-19,,,,,,0.0006627894192654025,0.0006125609232935192,,,,,9.991870655731544e-05,0.0,0.0
1987-02-20,,,,,,-0.00040229144182033904,-0.00040867106748661844,,,,,-6.063288770433611e-05,0.0,0.0
1987-02-23,,,,,,-0.013935219939964633,-0.013935219939964633,,,,,-0.0021008666125618084,0.0,0.0
1987-02-24,,,,,,0.0022721244796119165,0.0021777644438942816,,,,,0.0003450768229429543,0.0,-2.3710456383665334e-05
1987-02-25,,,,,,0.005086542980813096,0.004759944360154881,,,,,0.0007663325387227657,0.0,0.0009385618465812036
1987-02-26,,,,,,-0.004742535931036647,-0.004405327378756879,,,,,-0.0007149720407827203,0.0,-0.0008756583401370148
1987-02-27,,,,,,0.005674192992821717,0.005271856014313294,,,,,0.0008619975851751024,0.0,0.001055727121595141
1987-03-02,,,,,,-0.005467159637984359,-0.005079502663229967,,,,,-0.0008353102404061327,0.0,-0.0010230419329582863
1987-03-03,,,,,,0.0038854677165760542,0.004057721054131934,,,,,0.0007886037685460729,0.0,0.0009658384210868825
1987-03-04,,,,,,0.01567196474382726,0.01630850247532066,,,,,0.003171323181553921,0.0,0.003884061802133421
1987-03-05,,,,,,0.00860855117590115,0.00819259118857935,,,,,0.0013281477386107704,0.0,0.001602217238852411
1987-03-06,,,,,,0.0006356530920269154,0.0006291749639344018,,,,,9.599204374583628e-05,0.0,0.0
1987-03-09,,,,,,-0.010810064162168417,-0.010810064162168417,,,,,-0.0016292854267008013,0.0,0.0
1987-03-10,,,,,,0.011820906322144914,0.011820906322144914,,,,,0.0017959608361659888,0.0,0.0
1987-03-11,,,,,,-0.0025203430025318558,-0.0025203430025318558,,,,,-0.0003817613469025891,0.0,0.0
1987-03-12,,,,,,0.004205313912023407,0.004205313912023407,,,,,0.0006346091134382043,0.0,0.0
1987-03-13,,,,,,-0.00617904081840327,-0.00617904081840327,,,,,-0.0009312578077105109,0.0,0.0
1987-03-16,,,,,,-0.007777275630541881,-0.007777275630541881,,,,,-0.0011770092948076999,0.0,0.0
1987-03-17,,,,,,0.019012150426634875,0.018933887798098833,,,,,0.003035264251299025,0.0,0.0
1987-03-18,,,,,,0.001423398901691008,0.0014228704728973726,,,,,0.00021901754680392972,0.0,0.0
1987-03-19,,,,,,0.006034017166710863,0.006034017166710863,,,,,0.0009092970677630946,0.0,0.0
1987-03-20,,,,,,0.01904559689031032,0.01904559689031032,,,,,0.002871979325683524,0.0,0.0
1987-03-23,,,,,,0.013732927252168195,0.013732927252168195,,,,,0.002086354014569218,0.0,0.0
1987-03-24,,,,,,0.002182786193796037,0.002182786193796037,,,,,0.0003292423827263976,0.0,0.0
1987-03-25,,,,,,-0.005735887381457295,-0.005735887381457295,,,,,-0.0008644669446948483,0.0,0.0
1987-03-26,,,,,,0.0025232442909916795,0.0025232442909916795,,,,,0.00038188663686211183,0.0,-2.5648990425498538e-05
1987-03-27,,,,,,-0.022169020304195798,-0.022169020304195798,,,,,-0.0033405797545266206,0.0,-0.004091357921831052
1987-03-30,,,,,,-0.03252369271614976,-0.030862978941026013,,,,,-0.004942019713076959,-2.5180578712796254e-05,-0.006052713297907138
1987-03-31,,,,,,0.004487591021904415,0.006915004276398302,,,,,0.0017762126540773711,0.0021754073385821028,0.0021754073385821028
1987-04-01,,,,,,0.000777413304971206,0.001697290118360666,,,,,0.0004537679347954935,0.0005557499509427335,0.0005557499509427335
1987-04-02,,,,,,0.0012017481025289852,0.003069537735102118,,,,,0.0008348894806309135,0.0010225266095814987,0.0010225266095814987
1987-04-03,,,,,,0.006522430200749527,0.016585321125894986,,,,,0.004546945696520491,0.005568848422309526,0.005568848422309526
1987-04-06,,,,,,0.0025387945873308667,0.003932507984042203,,,,,0.0010164376995566203,0.0012448768596210354,0.001221420852023143
1987-04-07,,,,,,-0.015679330224105812,-0.017972606089597595,,,,,-0.0033364009380568225,-0.00408623993779118,0.0
1987-04-08,,,,,,0.001377513558853171,0.0017981508619671935,,,,,0.00037015939297084944,0.0004533508181384716,0.0
1987-04-09,,,,,,-0.009942547030270487,-0.013887023659674619,,,,,-0.0027839805130976626,-0.0034325091379275633,0.0
1987-04-10,,,,,,-0.0004702861742311333,-0.0009336163302488403,,,,,-0.00023986483322004069,-2.2868631039435233e-05,0.0
1987-04-13,,,,,,-0.0051321832028846165,-0.0159088290242057,,,,,-0.004385853800883527,-0.005371551949305407,0.0
1987-04-14,,,,,,-0.003535076768393445,-0.013235810765904929,,,,,-0.00425637820401464,-0.005212977376069873,0.0
1987-04-15,,,,,,0.002849740957413965,0.010140353527631058,,,,,0.003406948742003113,0.004172642998862338,0.0
1987-04-16,,,,,,0.001286789574079781,0.004245588565287757,,,,,0.0015107733862385726,0.0018503119566305958,0.0
1987-04-17,,,,,,0.0,0.0,,,,,,,
1987-04-20,,,,,,-0.0004236009631946915,-0.00139888915824934,,,,,-0.0004891970123256868,-0.0005991415319459728,0.0
1987-04-21,,,,,,0.0036160825189356116,0.011941659888882385,,,,,0.004191166927793505,0.005133110199961137,0.0
1987-04-22,,,,,,-0.0029138745366832433,-0.008938391611812828,,,,,-0.003472027088471234,-0.004252347369937814,0.0
1987-04-23,,,,,,-0.00018320436432816992,-0.0005516377892723147,,,,,-0.0002164083346717303,-0.0002851196793703205,0.0
1987-04-24,,,,,,-0.002623019927873459,-0.007885566229929954,,,,,-0.003028932828026781,0.0,0.0
1987-04-27,,,,,,0.00015481655237442311,0.00046990924874426473,,,,,0.000181650682422387,0.0,-1.9899018527865084e-05
1987-04-28,,,,,,0.00033951047945968117,0.0010296781134429731,,,,,0.00039189859263457976,-2.0063551712755153e-05,0.0004799757914347831
1987-04-29,,,,,,0.001026005110689633,0.0031117007299423004,,,,,0.0011943923828181368,0.0014628259452856927,0.0014628259452856927
1987-04-30,,,,,,0.0018739768675110793,0.005683456276947501,,,,,0.0021992792825704516,0.0026935560220859335,0.0026935560220859335
1987-05-01,,,,,,-0.0001610192990717782,-0.0004883444197657762,,,,,-0.00019001208808890063,-0.00023271633038928787,-0.00023271633038928787
1987-05-04,,,,,,0.0006497199351278583,0.0019704911557765093,,,,,0.0007644772688549791,0.0009362896143255847,0.0009362896143255847
1987-05-05,,,,,,0.0029079046815922638,0.008819185232158617,,,,,0.0034493141397992744,0.00420423716267104,0.004224529802537652
1987-05-06,,,,,,6.357965101980425e-05,0.0001878461745688862,,,,,7.370350461094393e-05,0.0,7.00513705946763e-05
1987-05-07,,,,,,-0.0008944202774767014,-0.0013052542745767024,,,,,-0.0004247248876936055,0.0,0.0
1987-05-08,,,,,,-0.0021320477292315794,-0.002688598217566207,,,,,-0.0007568386220688856,0.0,0.0
1987-05-11,,,,,,-0.0028699575709848373,-0.0037119262198055305,,,,,-0.0010286336740111036,0.0,0.0
1987-05-12,,,,,,0.0027752098738298737,0.003588102523270609,,,,,0.0010004730918031185,0.0,0.0
1987-05-13,,,,,,0.0010844490687207523,0.0014029957179920202,,,,,0.0003926425110655024,0.0,0.0
1987-05-14,,,,,,0.0004274422952670268,0.0005730308485893514,,,,,0.00015064528791002482,0.0,0.0
1987-05-15,,,,,,-0.012947161578615666,-0.01649099300655188,,,,,-0.003978620554754899,0.0,0.0
1987-05-18,,,,,,-0.0004933933046835636,-0.001345566976506352,,,,,-0.0004709230277243319,0.0,0.0
1987-05-19,,,,,,-0.0035869159309621164,-0.01195729022415432,,,,,-0.004108824584917673,-2.067169070656759e-05,0.0
1987-05-20,,,,,,-0.0007123186498941772,-0.0022548884035544043,,,,,-0.0008516819374418544,-0.0010430930849387632,0.0
1987-05-21,,,,,,0.0009945004817485963,0.003144610414475517,,,,,0.001148245426849396,0.0014063076976326436,0.0
1987-05-22,,,,,,0.0010026424202111681,0.0031703552230033178,,,,,0.0011651132064415955,0.0014269664241799537,0.0
1987-05-25,,,,,,0.0,0.0,,,,,,,
1987-05-26,,,,,,0.0034770023870600106,0.010994281167446582,,,,,0.004061152556896829,0.004973875765998229,-2.0296637144115256e-05
1987-05-27,,,,,,-0.00018314818000798492,-0.0005222809003707942,,,,,-0.00021830434526894137,-0.0002673671272706347,-0.0002673671272706347
1987-05-28,,,,,,0.0009787018106206789,0.0027655861606161155,,,,,0.0011299788548380118,0.0013839358072437957,0.0013839358072437957
1987-05-29,,,,,,-0.00031597899460967854,-0.0008928839459117042,,,,,-0.00036787343005681493,-0.00047028218124113395,-0.0004505510967833165
1987-06-01,,,,,,-0.00015454170118143763,-0.0003661261804707229,,,,,-0.0001517891678005683,0.0,-0.0001859030047965433
1987-06-02,,,,,,-0.001047467221622589,-0.002037520912832791,,,,,-0.0007762344451514107,0.0,-0.0009506891556966859
1987-06-03,,,,,,0.0038278031640785275,0.007472945733627601,,,,,0.0028746029867893603,0.0,0.0035206552653572125
1987-06-04,,,,,,0.0021084155582553796,0.0027937400900045423,,,,,0.0009191763943998846,0.0,0.001105575846262101
1987-06-05,,,,,,-0.0033207425364353907,-0.003529616473642562,,,,,-0.0009158618216378572,0.0,0.0
1987-06-08,,,,,,0.007018741112097875,0.007401805944284126,,,,,0.0018486326435241283,0.0,0.0
1987-06-09,,,,,,0.0015669917897713167,0.001459976684303322,,,,,0.0003147550098920194,0.0,0.0
1987-06-10,,,,,,0.0006191863601967166,0.0005515569789451045,,,,,0.00010657113031769906,0.0,0.0
1987-06-11,,,,,,0.004672314311412932,0.004048637987683584,,,,,0.0007128794992385901,0.0,0.0
1987-06-12,,,,,,0.01088687014162394,0.009944537229924172,,,,,0.0016418379052483439,0.0,0.0
1987-06-15,,,,,,0.005688708319034584,0.005462610698561634,,,,,0.0008617568520904717,0.0,0.0
1987-06-16,,,,,,0.006075671839766038,0.006060977270162548,,,,,0.0009164683436519994,0.0,0.0
1987-06-17,,,,,,0.00018701958240266661,0.0001868229142200437,,,,,2.8214016127133518e-05,0.0,0.0
1987-06-18,,,,,,0.003332072153454304,0.003332072153454304,,,,,0.0005021526111405975,0.0,0.0
1987-06-19,,,,,,0.0048722931556659365,0.0048722931556659365,,,,,0.0007343116193968825,0.0,0.0
1987-06-22,,,,,,0.01023788008231942,0.01023788008231942,,,,,0.0015436320761609912,0.0,0.0
1987-06-23,,,,,,-0.004639941288543516,-0.004639941288543516,,,,,-0.0007021019926736721,0.0,0.0
1987-06-24,,,,,,-0.006029843209600509,-0.006029843209600509,,,,,-0.00091081308374144,0.0,0.0
1987-06-25,,,,,,0.00814394904012757,0.00810572063591587,,,,,0.0012314507097528791,0.0,-2.214554565910702e-05
1987-06-26,,,,,,-0.006974632891644764,-0.006975199781587416,,,,,-0.0010535412644354582,0.0,-0.0012903192604167373
1987-06-29,,,,,,0.0028946090821897405,0.0028838464693600975,,,,,0.0004380843261008008,0.0,0.0005365415316289962
1987-06-30,,,,,,-0.0152213358107056,-0.015013190469279802,,,,,-0.002312792262106758,0.0,-0.002832580461609403
1987-07-01,,,,,,-0.002651638530019168,-0.0029874410241149617,,,,,-0.0006419908914743366,0.0,-0.0007862750518133079
1987-07-02,,,,,,0.004387566735832592,0.006562490439522815,,,,,0.001621202070790708,0.0,0.001985558921690343
1987-07-03,,,,,,0.0,0.0,,,,,,,
1987-07-06,,,,,,-0.0011544027967299879,-0.0017196346033128845,,,,,-0.0004269755518233225,0.0,-0.000522936117305208
